科修达有限公司,万科企业股份有限公司
广东德美精细化工集团股份有限公司,高明波
横店集团东磁股份有限公司,横店集团东磁有限公司
横店集团东磁股份有限公司,浙江省东阳市诚基电机有限公司
远光软件,
景德镇市焦化工业集团有限责任公司,江西黑猫炭黑股份有限公司
景德镇井冈山北汽创新发展投资中心（有限合伙）,江西黑猫炭黑股份有限公司
长海县<e2>獐子岛</e2>投资发展中心,獐子岛
獐子岛集团股份有限公司,大连翔祥食品有限公司
长海县獐子岛投资发展中心,獐子岛集团股份有限公司
江苏沙钢股份有限公司,苏州卿峰投资管理有限公司
柴国生,广东雪莱特光电科技股份有限公司
佛山雪莱特电子商务有限公司,广东雪莱特光电科技股份有限公司
江苏大港股份有限公司,王刚
江苏瀚瑞投资控股有限公司,江苏大港股份有限公司
山东太阳控股集团有限公司,山东太阳纸业股份有限公司
山东太阳控股集团有限公司,山东太阳纸业股份有限公司
山东太阳控股集团有限公司,山东太阳纸业股份有限公司
山东太阳控股集团有限公司,山东太阳纸业股份有限公司
苏州固锝电子股份有限公司,苏州超樊电子有限公司
江苏国泰国际集团国贸股份有限公司,江苏国泰国际集团东方进出口有限公司
青岛金王集团有限公司,青岛金王应用化学股份有限公司
广博股份,王利平
河北沧州东塑集团股份有限公司,沧州明珠塑料股份有限公司
河北沧州东塑集团股份有限公司,沧州明珠塑料股份有限公司
沧州洁通塑料有限公司,沧州明珠塑料股份有限公司
河北沧州东塑集团股份有限公司,沧州明珠塑料股份有限公司
广东恒润互兴资产管理有限公司,湖南天润数字娱乐文化传媒股份有限公司
广东恒润互兴资产管理有限公司,湖南天润数字娱乐文化传媒股份有限公司
中国轻工集团公司,中国海诚工程科技股份有限公司
中国海诚工程科技股份有限公司,长沙长泰智能装备有限公司
中国轻工集团公司,中国海诚工程科技股份有限公司
东证资管-东港股份定向资产管理计划,东港股份有限公司
深圳市科陆电子科技股份有限公司,江西科能储能电池系统有限公司
湘潭电化集团有限公司,湘潭电化科技股份有限公司
